polygon,year,peak,tier,payout_pct
hex_011_014,2002,144.2462689356009,0,0.0
hex_011_014,2003,88.38560926651789,0,0.0
hex_011_014,2004,108.54724254106482,0,0.0
hex_011_014,2005,78.0170766467601,0,0.0
hex_011_014,2006,84.08355206345932,0,0.0
hex_011_014,2007,132.245409001588,0,0.0
hex_011_015,1998,111.48759242082636,0,0.0
hex_011_015,1999,63.88234754186537,0,0.0
hex_011_015,2000,56.25590160873201,0,0.0
hex_011_015,2001,105.85817798292472,0,0.0
hex_011_015,2002,144.2462689356009,0,0.0
hex_011_015,2003,87.51874032934506,0,0.0
hex_011_015,2004,110.49321411190347,0,0.0
hex_011_015,2005,85.28971311223177,0,0.0
hex_011_015,2006,92.29987326553298,0,0.0
hex_011_015,2007,149.25786503168445,1,20.0
hex_011_017,1998,130.1262721260637,0,0.0
hex_011_017,1999,64.09027724661347,0,0.0
hex_011_017,2000,93.80378105440073,0,0.0
hex_011_017,2001,134.56465564959166,0,0.0
hex_011_017,2002,148.50813252990858,1,20.0
hex_011_017,2003,101.51707482871939,0,0.0
hex_011_017,2004,105.1128132633037,0,0.0
hex_011_017,2005,125.08627505899304,0,0.0
hex_011_017,2006,106.64264254440864,0,0.0
hex_011_017,2007,198.28249833242347,3,100.0
hex_011_018,1998,119.19237451032632,0,0.0
hex_011_018,1999,83.04093031218896,0,0.0
hex_011_018,2000,98.9890619607601,0,0.0
hex_011_018,2001,141.85251216640904,0,0.0
hex_011_018,2002,151.657521709866,0,0.0
hex_011_018,2003,120.16865609294221,0,0.0
hex_011_018,2004,108.0262135560438,0,0.0
hex_011_018,2005,131.4509813856582,0,0.0
hex_011_018,2006,102.99463186206503,0,0.0
hex_011_018,2007,222.64519166473713,3,100.0
hex_011_019,1998,112.50267664970623,0,0.0
hex_011_019,1999,86.86881511381102,0,0.0
hex_011_019,2000,89.32306399707993,0,0.0
hex_011_019,2001,148.73168784754145,0,0.0
hex_011_019,2002,155.469784282657,0,0.0
hex_011_019,2003,132.6913111782328,0,0.0
hex_011_019,2004,111.30432127097414,0,0.0
hex_011_019,2005,140.85365024464,0,0.0
hex_011_019,2006,109.4046412820576,0,0.0
hex_011_019,2007,236.03976339535996,3,100.0
hex_011_021,1998,114.76344933592611,0,0.0
hex_011_021,1999,94.37889484643937,0,0.0
hex_011_021,2000,95.29738765814238,0,0.0
hex_011_021,2001,151.71541261399372,0,0.0
hex_011_021,2002,181.19391180305018,0,0.0
hex_011_021,2003,143.48786896636935,0,0.0
hex_011_021,2004,137.5389670277097,0,0.0
hex_011_021,2005,137.15033844783488,0,0.0
hex_011_021,2006,132.07513997047727,0,0.0
hex_011_021,2007,276.6161456499828,3,100.0
hex_011_022,1998,115.88941324491468,0,0.0
hex_011_022,1999,108.9265323333525,0,0.0
hex_011_022,2000,100.06024960064227,0,0.0
hex_011_022,2001,159.4729687559315,0,0.0
hex_011_022,2002,181.19391180305018,0,0.0
hex_011_022,2003,161.04820420906776,0,0.0
hex_011_022,2004,143.8786879682872,0,0.0
hex_011_022,2005,135.8477954651043,0,0.0
hex_011_022,2006,137.933912891431,0,0.0
hex_011_022,2007,284.9870643264055,3,100.0
hex_012_000,1998,153.322651518604,0,0.0
hex_012_000,1999,87.55847017534077,0,0.0
hex_012_000,2000,157.65540435285203,0,0.0
hex_012_000,2001,86.97816895068105,0,0.0
hex_012_000,2002,88.92806973299632,0,0.0
hex_012_000,2003,95.38806348399984,0,0.0
hex_012_000,2004,135.76808132967602,0,0.0
hex_012_000,2005,89.62000550748988,0,0.0
hex_012_000,2006,145.04484660448298,0,0.0
hex_012_000,2007,65.53482597509192,0,0.0
hex_012_013,1998,112.20731892466546,0,0.0
hex_012_013,1999,73.1167348777213,0,0.0
hex_012_013,2000,63.295355880740615,0,0.0
hex_012_013,2001,89.24747850898653,0,0.0
hex_012_013,2002,125.25051496945322,0,0.0
hex_012_013,2003,100.18872931578093,0,0.0
hex_012_013,2004,102.68701822690252,0,0.0
hex_012_013,2005,70.68348408710625,0,0.0
hex_012_013,2006,89.22281357622809,0,0.0
hex_012_013,2007,128.49411281064567,0,0.0
hex_012_014,1998,110.97077090457081,0,0.0
hex_012_014,1999,78.40003601017098,0,0.0
hex_012_014,2000,63.10428452297217,0,0.0
hex_012_014,2001,96.70103296912792,0,0.0
hex_012_014,2002,133.59075661334313,0,0.0
hex_012_014,2003,97.92577892750502,0,0.0
hex_012_014,2004,105.3521353061787,0,0.0
hex_012_014,2005,71.89445003581544,0,0.0
hex_012_014,2006,88.32307423525387,0,0.0
hex_012_014,2007,133.44160270094872,0,0.0
hex_012_015,1998,117.92983883653665,0,0.0
hex_012_015,1999,65.44654919717047,0,0.0
hex_012_015,2000,66.010993086319,0,0.0
hex_012_015,2001,113.88041301158154,0,0.0
hex_012_015,2002,142.45257100122257,0,0.0
hex_012_015,2003,93.42466432258487,0,0.0
hex_012_015,2004,110.49321411190347,0,0.0
hex_012_015,2005,78.22155440132651,0,0.0
hex_012_015,2006,97.02321661665208,0,0.0
hex_012_015,2007,163.8935003289953,1,20.0
hex_012_016,1998,111.48759242082636,0,0.0
hex_012_016,1999,67.92825932216313,0,0.0
hex_012_016,2000,59.85408470155464,0,0.0
hex_012_016,2001,114.82821749148684,0,0.0
hex_012_016,2002,139.54324287070997,0,0.0
hex_012_016,2003,91.31474518580983,0,0.0
hex_012_016,2004,106.42742846982347,0,0.0
hex_012_016,2005,93.70352452538494,0,0.0
hex_012_016,2006,101.94216170774152,0,0.0
